timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1.779.165.338.542;1010354;ESP32-IDS-01;31.0;59.3;5474;20;4;3.38;dos
1779164922.36;576903;ESP32-IDS-01;30.5;61.2;8093;9999;0;2.5;dos
1.779.151.754.937;1537068;ESP32-IDS-01;29.8;64.5;9241;9999;0;2.81;dos
1779145246.19;513104;ESP32-IDS-01;28.2;68.6;611;21;1;0.3;normal
1.779.145.403.395;670320;ESP32-IDS-01;28.3;68.8;330;19;1;0.6;normal
1.779.146.692.664;68085;ESP32-IDS-01;28.6;61.1;786;20;0;0.2;normal
1.779.145.707.842;974731;ESP32-IDS-01;28.5;64.2;798;34;20;3.4;normal
1.779.146.340.211;22041;ESP32-IDS-01;28.6;62.3;358;20;1;1.7;normal
1.779.151.453.908;1255949;ESP32-IDS-01;30.0;64.1;423;21;1;0.8;dos
1.779.148.374.592;179087;ESP32-IDS-01;28.5;70.0;485;20;5;1.8;normal
1.779.146.477.821;105590;ESP32-IDS-01;28.6;62.3;370;20;0;0.2;normal
1779149207.09;1011608;ESP32-IDS-01;28.8;68.5;982;21;6;1.3;normal
1.779.150.881.456;683434;ESP32-IDS-01;29.5;66.1;469;39;40;4.53;dos
1779146648.87;24295;ESP32-IDS-01;28.7;63.7;728;19;1;1.3;normal
1.779.152.557.245;25739;ESP32-IDS-01;30.0;63.5;10000;1607;403;1.59;dos
1.779.164.667.033;338769;ESP32-IDS-01;29.9;63.8;1368;29;7;2.53;dos
1.779.148.324.491;128988;ESP32-IDS-01;28.4;70.3;349;19;3;1.6;normal
1.779.155.728.564;6684;ESP32-IDS-01;30.0;60.7;466;27;14;2.25;dos
1.779.146.188.116;130962;ESP32-IDS-01;28.6;61.4;970;19;0;0.5;normal
1779165056.33;714955;ESP32-IDS-01;30.7;60.4;10000;9999;0;3.0;dos
1.779.148.626.336;430841;ESP32-IDS-01;28.8;69.1;780;20;0;0.4;normal
1.779.149.611.999;1416527;ESP32-IDS-01;29.1;67.7;959;21;4;3.4;normal
1.779.146.415.797;43565;ESP32-IDS-01;28.7;63.6;549;20;0;3.4;normal
1.779.151.622.153;1422990;ESP32-IDS-01;29.9;64.2;5983;409;1019;2.97;dos
1.779.151.368.385;1170454;ESP32-IDS-01;29.9;64.4;754;19;3;2.3;dos
1779148242.1;46414;ESP32-IDS-01;28.0;69.6;993;71;76;3.3;normal
1.779.149.207.648;1012173;ESP32-IDS-01;28.8;68.5;565;20;1;3.5;normal
1.779.151.565.098;1367169;ESP32-IDS-01;29.9;64.1;755;20;0;1.0;dos
1.779.158.102.167;253180;ESP32-IDS-01;30.3;60.8;889;53;19;2.3;dos
1.779.145.691.972;958874;ESP32-IDS-01;28.4;64.7;974;21;2;1.2;normal
1.779.146.616.823;113409;ESP32-IDS-01;28.7;63.7;708;21;2;2.8;normal
1.779.146.153.658;96491;ESP32-IDS-01;28.6;65.5;723;23;6;3.1;normal
1.779.145.124.214;391077;ESP32-IDS-01;28.2;69.1;962;34;22;1.7;normal
1.779.153.884.133;21177;ESP32-IDS-01;30.0;62.5;898;22;7;2.61;dos
1.779.151.149.683;951675;ESP32-IDS-01;29.8;65.0;484;39;27;5.07;dos
1779152341.98;2140896;ESP32-IDS-01;29.9;64.0;8813;406;509;1.9;dos
1.779.148.813.227;617296;ESP32-IDS-01;28.9;68.5;862;109;138;1.1;normal
1.779.154.766.823;21898;ESP32-IDS-01;30.0;62.4;10000;1304;138;1.59;dos
1.779.164.489.111;160891;ESP32-IDS-01;29.7;64.7;965;19;1;0.2;dos
1779146052.36;234627;ESP32-IDS-01;28.5;65.1;1000;19;3;2.6;normal
1.779.156.757.989;447603;ESP32-IDS-01;30.1;61.7;3240;1013;1423;1.41;dos
1.779.152.800.718;276470;ESP32-IDS-01;29.9;63.4;991;366;520;2.42;dos
1.779.153.075.128;48905;ESP32-IDS-01;29.9;63.1;330;355;504;0.2;dos
1.779.145.340.204;607100;ESP32-IDS-01;28.3;66.6;355;20;5;2.7;normal
1.779.158.791.346;52825;ESP32-IDS-01;30.3;61.3;956;366;519;3.09;dos
1.779.158.960.392;40913;ESP32-IDS-01;30.5;60.5;4715;444;476;3.61;dos
1.779.152.074.182;1875796;ESP32-IDS-01;29.8;64.4;442;163;350;3.3;dos
1.779.164.489.927;161708;ESP32-IDS-01;29.7;64.7;349;19;2;1.6;dos
1.779.146.472.753;100528;ESP32-IDS-01;28.6;63.6;948;18;2;2.2;normal
1779146600.96;97549;ESP32-IDS-01;28.7;63.6;919;20;0;0.5;normal
1.779.145.546.708;813458;ESP32-IDS-01;28.4;68.0;688;79;93;0.7;normal
1.779.145.918.816;101081;ESP32-IDS-01;28.6;66.4;948;19;3;2.2;normal
1.779.157.262.261;88593;ESP32-IDS-01;30.1;62.1;752;53;18;2.8;dos
1779150136.35;1940895;ESP32-IDS-01;28.9;67.9;952;19;1;2.9;dos
1.779.156.315.289;7845;ESP32-IDS-01;30.0;60.5;626;25;14;3.3;dos
1.779.145.384.142;651063;ESP32-IDS-01;28.3;68.9;947;20;1;0.8;normal
1.779.152.304.179;2101318;ESP32-IDS-01;29.9;64.1;1093;1669;2427;1.91;dos
1.779.150.291.136;92062;ESP32-IDS-01;28.9;67.9;2955;385;1052;0.8;dos
1.779.150.102.938;1907497;ESP32-IDS-01;28.9;67.9;431;18;1;2.3;dos
1.779.150.567.981;369980;ESP32-IDS-01;29.2;67.2;717;32;12;4.79;dos
1.779.148.457.337;261577;ESP32-IDS-01;28.7;69.6;770;106;126;0.5;normal
1.779.158.967.526;49944;ESP32-IDS-01;30.5;60.5;2864;24;16;2.15;dos
1.779.157.887.873;41175;ESP32-IDS-01;30.3;60.8;479;21;5;3.59;dos
1.779.149.358.266;1162616;ESP32-IDS-01;29.0;68.2;518;22;3;1.7;normal
1.779.157.155.022;299582;ESP32-IDS-01;30.0;62.4;6506;541;507;2.65;dos
1779145664.48;931415;ESP32-IDS-01;28.4;66.7;374;19;2;3.0;normal
